,handle,tweet,if_tsunami,datetime,day,month,year,time,if_alert_worthy
529,XHNews,At least 168 killed when #tsunami hits beaches in #Indonesiapic.twitter.com/cpJKdiYSha,True,2018-12-22 23:52:00,22,Dec,2018,11:52 PM,1
531,ApunNiki,"At least 43 people killed, 584 others wounded, 50 missing as a #tsunami hits Sunda Strait of western Indonesia.  #RIPpic.twitter.com/aLtwBnymEZ",True,2018-12-22 23:40:00,22,Dec,2018,11:40 PM,1
533,PascaleMeige,"Another disaster hitting #Indonesia bringing loss of life, injuries and destruction. This time a #tsunami from a #volcano eruption. Rescue work underway.https://twitter.com/IFRCAsiaPacific/status/1076729290836692992 …",True,2018-12-22 23:38:00,22,Dec,2018,11:38 PM,1
534,DammitTees,concert hit by #Tsunami #Indonesia #seventeenband #SEVENTEEN #PrayForAnyer #TsunamiSelatSundapic.twitter.com/vdD7P9mPom,True,2018-12-22 23:37:00,22,Dec,2018,11:37 PM,1
555,_Manish_pal,"A #Tsunami triggered by a volcano has hit coastlines along the Sunda Strait in western #Indonesia  , killing at least 43 people and injuring nearly 600 others.  Sending prayers & condolences to those families who have lost loved ones.",True,2018-12-22 20:28:00,22,Dec,2018,8:28 PM,1
557,EricssenWen,"Terrifying video shows tsunami crashing into the Indonesian band Seventeen in concert at the Tanjung Lesung Beach, Banten. The band’s bass player and road manager are dead, three other band members and the singer’s wife are missing.  #Tsunami #PrayforBanten #PrayForAnyer pic.twitter.com/mLlTr0donT",True,2018-12-22 19:51:00,22,Dec,2018,7:51 PM,1
558,kumarmanish9,"43 dead and many more missing.   ""Anak-Krakatau volcano with increased activity, 2.5 hours prior to the #tsunami waves hitting some areas on the coast of West-Java and Southern-Sumatra."" #indonesia #PrayForAnyer #Krakatau #krakatoapic.twitter.com/jFCrgUfaet",True,2018-12-22 19:21:00,22,Dec,2018,7:21 PM,1
560,WeldonAmanda,Breaking News: Deadly tsunami strikes Indonesia after volcanic eruption. @weathernetwork #Tsunami pic.twitter.com/o7ZREkUVO4 – at The Weather Network,True,2018-12-22 18:58:00,22,Dec,2018,6:58 PM,1
563,MariettaPosts,Indonesia Had a 'Volcano Tsunami' After Krakatoa Erupted Today. 43 People Have Been Killed & 6OO Injured.   The Wave Hit During a Live Concert With No Warning With Multiple Fatalities. #PrayForIndonesia  #Volcano #Tsunami pic.twitter.com/OnCLP3SiUH,True,2018-12-22 18:50:00,22,Dec,2018,6:50 PM,1
564,CGTNOfficial,"At least 43 killed, 584 injured after #tsunami hits #Indonesia's Sunda Strait https://goo.gl/3yZdnD pic.twitter.com/o06D7c5dLa",True,2018-12-22 18:50:00,22,Dec,2018,6:50 PM,1
565,SwamiGeetika,#Tsunami hitting the shores in #Indonesia and slamming into a Band playing in a tent near the shore when the waves hit.This is how unpredictable life is. Prayers for Indonesia  #SundayThoughts #SundayMotivationpic.twitter.com/OalIxAevsU,True,2018-12-22 18:35:00,22,Dec,2018,6:35 PM,1
569,news_srb,#BREAKING MORE: footage of the #volcano in #Indonesia  what was followed by a deadly #tsunami a day after it has exploded. pic.twitter.com/4YF9P5oHbP,True,2018-12-22 18:17:00,22,Dec,2018,6:17 PM,1
573,OysteinLAnderse,"Latest data as of 07:00 local time  - 23 December on the #Tsunami that hit coast of West-Java and coast of South-Sumatra (Lampung): 43 fatalities, 584 injured and 2 missing.   Hundreads of houses damaged as well.  #Anyer #Indonesiahttps://twitter.com/Sutopo_PN/status/1076654233548611584 …",True,2018-12-22 17:51:00,22,Dec,2018,5:51 PM,1
575,TWPundit,"#Breaking: A Volcano has Erupted in #Indonesia, creating a #Tsunami that has killed dozens of people and injured hundreds of others pic.twitter.com/NQ7HyU9koK",True,2018-12-22 17:00:00,22,Dec,2018,5:00 PM,1
580,KKpower7,"Breaking: #Jakarta  20 killed, 165 wounded after tsunami hits Indonesia  #Tsunami  https://twitter.com/AP/status/1076626535136849923 …",True,2018-12-22 16:39:00,22,Dec,2018,4:39 PM,1
582,sandipseth,"At least 20 killed, 165 wounded after #tsunami hits #Indonesia.The agency says the possible cause of the tsunami were undersea landslides after the Krakatoa volcano erupted.pic.twitter.com/fgwK3ceqbY",True,2018-12-22 16:37:00,22,Dec,2018,4:37 PM,1
584,CATnewsDE,"#Anak #Krakatoa #tsunami, potentially triggered by an underwater / subaerial #landslide + tide (14:00 UTC, Dec. 22nd)? Southern flank seems to fit best (see animation). Remark: source is not confirmed, but #tryingtosolveit, #Indonesia @UKEQ_Bulletin @infoBMKG @volcanodiscoverpic.twitter.com/WEeG8pngy0",True,2018-12-22 16:32:00,22,Dec,2018,4:32 PM,1
585,Terremoti7,"BREAKING: At least 20 dead, 165 injured after a #tsunami strikes the beaches around the Sunda Strait in #Indonesia. Tsunami it was not caused from an earthquake but probably from the collapse of a wall of a volcano(Anak Krakatau) into ocean. #AnakKrakatau",True,2018-12-22 15:24:00,22,Dec,2018,3:24 PM,1
589,RT_com,"#Tsunami kills 20, injures 165 in Indonesia https://on.rt.com/9l32 ",True,2018-12-22 15:04:00,22,Dec,2018,3:04 PM,1
872,XHNews,"#BREAKING: Death toll from Indonesia's quakes, #tsunami jumps to 832 - media reports pic.twitter.com/QOrOm1KEEq",True,2018-09-29 23:50:00,29,Sep,2018,11:50 PM,1
891,IslamicReliefUK,"A devastating #tsunami, triggered by a 7.5 earthquake, hit #Indonesia. 380 people have been tragically killed according to recent reports. We're responding by providing emergency life-saving aid.  Donate Now and help support families in desperate need: http://iruk.co/t-IndonesiaTsunami …pic.twitter.com/z6rnWYUNG4",True,2018-09-29 07:57:00,29,Sep,2018,7:57 AM,1
897,BeatrizGMuller,#IndonesiaEarthQuake More than 380 people have been confirmed dead. #TSUNAMI magnitude 7.5 through Palu on Sulawesi island. My heart with #Indonesia #bestrong #SOLIDARIDAD from #Mexico ,True,2018-09-29 06:29:00,29,Sep,2018,6:29 AM,1
904,MariettaPosts,Nearly 400 People Were Killed & Hundreds More Are Missing After The 7.5 Earthquake in Indonesia That Triggered a 10-Foot High Tsunami in The City of Palu.  Sending Prayers To The People of Indonesia  #Earthquake #Tsunami pic.twitter.com/IScYzKSvfH,True,2018-09-29 03:48:00,29,Sep,2018,3:48 AM,1
905,GhoriMuhammed,"Strong Earthquake, #tsunami in #Indonesia's #Sulawesi Island kill at least 384 people and almost 540 people are injured. @BakhtawarBZ @AseefaBZ @ShahNafisapic.twitter.com/NY3uO9peWA",True,2018-09-29 03:18:00,29,Sep,2018,3:18 AM,1
908,unisdr,"Dramatic footage of #tsunami hitting #Palu  Raising tsunami awareness, timely warnings, clear evacuation routes are all vital to saving lives in events like this. #TsunamiDay2018 #IDDR2018 #ResilienceForAllhttps://twitter.com/twitter/statuses/1045661505251827712 …",True,2018-09-29 02:19:00,29,Sep,2018,2:19 AM,1
909,unisdr,"#Indonesia #earthquake: Hundreds dead in #Palu quake and #tsunami Strong aftershocks continue to rock the city. Thousands of homes have collapsed, along with hospitals, hotels and shopping centres #IDDR2018 #TsunamiDay2018 #ResilienceForAllhttps://www.bbc.com/news/world-asia-45683630 …",True,2018-09-29 01:50:00,29,Sep,2018,1:50 AM,1
914,PDChina,"#BREAKING: Death toll caused by Friday's M7.4 #earthquake and ensuing #tsunami in #Indonesia has jumped to 384, authorities saidpic.twitter.com/dhL3tM4JWx",True,2018-09-29 00:33:00,29,Sep,2018,12:33 AM,1
915,AssaadRazzouk,"At least 384 people killed and hundreds more missing after series of powerful earthquakes rocked Indonesia’s central Sulawesi and triggered a 3-metre high #tsunami, destroying thousands of houses and buildings  https://buff.ly/2N8QpU7 pic.twitter.com/0TrjW7ITeS",True,2018-09-29 00:27:00,29,Sep,2018,12:27 AM,1
919,CBNNews,#PRAYER REQUEST: Powerful Quakes Rock Indonesia Collapsing Homes as #Tsunami Sweeps Others Away http://fw.to/U0louWE ,True,2018-09-28 23:00:00,28,Sep,2018,11:00 PM,1
925,CGTNOfficial,"#UPDATE Scores killed, dozens of buildings collapsed after powerful M7.5 #quake and #tsunami struck central #Indonesia Friday afternoon, according to an AFP photographer at the scene; rescuers are scrambling to reach the stricken area #Sulawesipic.twitter.com/39htX27xSS",True,2018-09-28 18:18:00,28,Sep,2018,6:18 PM,1
928,CBNNews,PRAYER REQUEST: Powerful Quakes Rock Indonesia Collapsing Homes as #Tsunami Sweeps Others Away http://fw.to/U0louWE ,True,2018-09-28 17:00:00,28,Sep,2018,5:00 PM,1
934,TheWatchers_,Major #tsunami hits #Indonesia after shallow M7.5 earthquakehttp://dlvr.it/Qlj3Wd ,True,2018-09-28 12:12:00,28,Sep,2018,12:12 PM,1
936,buitengebieden,"A devastating tsunami hitted Donggola and Palu, Sulawesi, Indonesia today after the M7.5 earthquake.  September 28, 2018   #tsunami #earthquake #indonesia #nature @spann @JimCantore @TomHall #500pxrtg #newspic.twitter.com/Jl0kjEgiGv",True,2018-09-28 11:04:00,28,Sep,2018,11:04 AM,1
937,Trazlersgal,#Tsunami hits #Indonesia's #Palu after strong earthquake - BBC Newshttps://www.bbc.com/news/world-asia-45683630 …,True,2018-09-28 11:03:00,28,Sep,2018,11:03 AM,1
939,PakMamat,"Jembatan Palu IV destroyed by the earthquake in #Palu, Central Sulawesi. #gempa #tsunami pic.twitter.com/Q8PKwvE5Hj",True,2018-09-28 10:19:00,28,Sep,2018,10:19 AM,1
941,youmustdo1,#video #Breaking #News #tsunami hit Palu Indonesia this afternoon after 7.7 magnitude #earthquake  #Follow #IFB #Nature #Photography #Photo #Travel #Share #Live #Twitter #storm #pictures #FridayThoughts #stormhour #friday via:pic.twitter.com/XdJ7Hw6P8J,True,2018-09-28 10:11:00,28,Sep,2018,10:11 AM,1
943,vcantugakkas,Central Indonesian city of Palu hit by 3 meter high #Tsunami after a 7.5 magnitude earthquake shake the Island. #Indonesia #Palu #earthquake #quakepic.twitter.com/wy1X1PfqmB,True,2018-09-28 09:49:00,28,Sep,2018,9:49 AM,1
945,MariettaPosts,A Tsunami Over Three Foot High Was Triggered Today by a Magnitude 7.5 Earthquake That Hit a Coastal Indonesian city. Search & Rescue is Underway During Strong Aftershocks Looking For All Those Who Are Missing.  Prayers For Indonesia  #TSUNAMI #Earthquakepic.twitter.com/CtHekFD8eb,True,2018-09-28 09:18:00,28,Sep,2018,9:18 AM,1
947,hatheek4u,Central Indonesian city of Palu hit by 3 meter high #Tsunami after a 7.5 magnitude earthquake shake the Island. #Indonesia #Palu #earthquake #quake #FridayFeeling #Friday #Beach #Disaster #quote #INDvBAN #Australia #lka #Srilankapic.twitter.com/bF2HdBmara,True,2018-09-28 09:08:00,28,Sep,2018,9:08 AM,1
953,Phil_Buck,"VIDEO: Tsunami hits Indonesian city of Palu after a major earthquake, as seen in footage circulating online http://cna.asia/2NODv2E  via @ChannelNewsAsia #TSUNAMI #Indonesia #earthquake #Sulawesipic.twitter.com/ouZyhuEIWP",True,2018-09-28 08:24:00,28,Sep,2018,8:24 AM,1
955,NOWNews18,"#BREAKING| Video shows tsunami hitting #Palu, Central Sulawesi after powerful 7.7-magnitude quake. It shows the water hitting the heavily damaged Baiturrahman Mosque next to the Palu Grand Mall.  #PrayforSulteng #PrayforDonggala #PrayforPalu #Gempa #Tsunami pic.twitter.com/oFYbPFR0Mg",True,2018-09-28 08:07:00,28,Sep,2018,8:07 AM,1
958,StormchaserUKEU,WOW... Devastating #TSUNAMI hits #Palu city this afternoon after 7.7 magnitude #earthquake hits. Report ; @ramadhaniep #ExtremeWeatherpic.twitter.com/5xltxTBeAA,True,2018-09-28 08:04:00,28,Sep,2018,8:04 AM,1
964,georgekourounis,Strong #earthquake & #tsunami reported in #Indonesia. Here’s an earthquake map from the USGSpic.twitter.com/QuCgsYlobR,True,2018-09-28 07:07:00,28,Sep,2018,7:07 AM,1
