handle,tweet,if_tsunami,datetime,day,month,year,time
BNPB_Indonesia,Kepala BNPB melakukan koordnasi terkait penanggulangan bencana dengan Panglima TNIpic.twitter.com/50za7K9wHW,False,2019-01-14 20:28:00,14,Jan,2019,8:28 PM
InfoHumasBMKG,"Part1#InformasiGempa Bumi#MitigasidanEdukasi#tentangapa yg hrs dilakukan sebelum, saat dan sesudah Gempa Bumi terjadi, hal sangat diperlukan guna meningkatkan kesadaran masyarakat dlm kesiapsiagaan bencana..#infobmkg#pemerintahbekerja..simak guys.. @BNPB_Indonesia @dwiko_ritapic.twitter.com/62mbOexETF",False,2019-01-13 15:54:00,13,Jan,2019,3:54 PM
BNPB_Indonesia,"My week on Twitter : 581 Mentions, 13.5M Mention Reach, 327 Likes, 162 Retweets, 188K Retweet Reach. See yours with https://sumall.com/performancetweet?utm_source=twitter&utm_medium=publishing&utm_campaign=performance_tweet&utm_content=text_and_media&utm_term=a1dc8537af760bb708e71bff …pic.twitter.com/Q8EdiBx2SA",False,2019-01-12 05:02:00,12,Jan,2019,5:02 AM
BNPB_Indonesia,Saat ini Kepala BNPB sedang mengunjungi masyarakat yang terdampak tsunami Selat Sunda.pic.twitter.com/HVI8ipcWFr,True,2019-01-11 23:37:00,11,Jan,2019,11:37 PM
Sutopo_PN,Kondisi Gunung Anak Krakatau pada 11/1/2019 yang didokumentasikan. ⁦@EarthUncutTV⁩. Warna orange kecoklatan adalah hidrosida besi (FeOH3) yang mengandung zat besi tinggi yang keluar dari kawah dan larut ke dalam air laut. Tubuh Gunung Anak Krakatau telah banyak berubah.pic.twitter.com/ZnvEVngYv5,False,2019-01-11 22:09:00,11,Jan,2019,10:09 PM
BNPB_Indonesia,"Our biggest fans this week: @Rockslashjeffry, @Senaputra_FM, @andiana. Thank you! via https://sumall.com/thankyou?utm_source=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=a1dc8537af760bb708e71bff …pic.twitter.com/KmEP21VTxH",False,2019-01-11 18:03:00,11,Jan,2019,6:03 PM
BNPB_Indonesia,"Kepala BNPB  Kepala BMKG, Kepala PVMBG, LIPI dan bersama para ahli geologi,vulkanologi dan para peneliti melakukan kunjungan ke lokasi Pantai Binuangeun yanga menjadi jejak tsunami 300, 1700, dan 3000 tahun yg... https://www.facebook.com/265134686905181/posts/2067387623346536/ …",True,2019-01-11 17:30:00,11,Jan,2019,5:30 PM
BNPB_Indonesia,"Tanah Longsor Timpa Anak-Anak Saat Bermain  Kamis, 10 Januari 2019 Pkl. 16:00 WIB  Lokasi : Prov. Jawa Barat Kab. Sukabumi Kec. Cicurug Kel. Cicurug Kampung Nyalindung (Astana Gunung)   Korban Jiwa : • 1 Orang... https://www.facebook.com/265134686905181/posts/2065114186907213/ …",False,2019-01-10 07:07:00,10,Jan,2019,7:07 AM
DMCDompetDhuafa,Selamat atas dilantiknya Letjend TNI Doni Monardo sebagai Kepala @BNPB_Indonesia Semoga dapat mengemban amanah dengan baik dalam menuju Indonesia Tangguh #BNPB #DompetDhuafapic.twitter.com/TKHTPnFUAV,False,2019-01-10 00:35:00,10,Jan,2019,12:35 AM
DMCDompetDhuafa,"Terima kasih kepada Laksamana Muda (Purn) Willem Rampangilei, atas baktinya sebagai Kepala @BNPB_Indonesia 2015-2019 dalam membangun Indonesia Tangguh #BNPB #DompetDhuafapic.twitter.com/TbDyZSt87c",False,2019-01-10 00:13:00,10,Jan,2019,12:13 AM
