handle,tweet,if_tsunami,datetime,day,month,year,time
thejakartaglobe,Gov't Cracks Down on E-Commerce to Raise Tax Collection http://jglo.be/khg9 pic.twitter.com/aIw6VqztVN,False,2019-01-14 07:44:00,14,Jan,2019,7:44 AM
thejakartaglobe,Lippo Cikarang Hands Over Apartment Units in Pasadena Suites in Meikarta CBD http://jglo.be/khg5 pic.twitter.com/6yhwWILULb,False,2019-01-14 07:31:00,14,Jan,2019,7:31 AM
thejakartaglobe,'Lagi-Lagi Ateng' Pays Tribute to Legendary Comedians http://jglo.be/khaR pic.twitter.com/loMPhQy7jU,False,2019-01-14 06:35:00,14,Jan,2019,6:35 AM
thejakartaglobe,Indonesian Student Wins Worldwide Comic Contest With Anti-Bullying Hero http://jglo.be/khfN pic.twitter.com/mbY8f1oHCp,False,2019-01-14 04:39:00,14,Jan,2019,4:39 AM
thejakartaglobe,Indonesia Hopes to Solve Lion Air Crash Mystery After Navy Recovers Cockpit Voice Recorder http://jglo.be/khfA pic.twitter.com/YVRw8fEPYW,False,2019-01-14 04:03:00,14,Jan,2019,4:03 AM
thejakartaglobe,"The government is preparing a regulation that will fix the rates for drivers and riders of ride-hailing services Grab and Go-Jek, two officials said this week, creating potential obstacles for the companies' expansion.https://jakartaglobe.id/business/govt-plan-to-regulate-ride-hailing-rates-threatens-grab-go-jek-expansion/ …",False,2019-01-14 02:21:00,14,Jan,2019,2:21 AM
thejakartaglobe,Indonesian artist and avid traveler Baron Basuning captures light of the divine in latest solo exhibition.https://jakartaglobe.id/features/baron-basuning-captures-light-of-the-divine-in-latest-solo-exhibition/ …,False,2019-01-14 02:18:00,14,Jan,2019,2:18 AM
thejakartaglobe,"President Joko Widodo in a televised public address on Sunday laid out his vision and mission for the next five years, promising more development in the future and discussed the administration's achievements.pic.twitter.com/8geFa9kbS2",False,2019-01-14 02:18:00,14,Jan,2019,2:18 AM
thejakartaglobe,"Man of all trades – fashion designer, film and soap opera actor – Robby Tumewu passed away early Monday morning.pic.twitter.com/eMzczgjwC5",False,2019-01-14 00:46:00,14,Jan,2019,12:46 AM
thejakartaglobe,The Ministry of Health reassured HIV patients that sufficient antiretroviral drugs will be available for their treatment after some hospitals ran out of supplies.https://jakartaglobe.id/news/govt-seeks-reassure-hiv-patients-drug-supplies/ …,False,2019-01-13 23:56:00,13,Jan,2019,11:56 PM
thejakartaglobe,"Meme candidate pair and toilet-humor enthusiasts Nurhadi-Aldo – ""DilDo"" for short – steals spotlight amid political campaign hubbub.https://jakartaglobe.id/features/meme-candidate-pair-nurhadi-aldo-steals-spotlight-amid-political-campaign-hubbub/ …",False,2019-01-13 23:55:00,13,Jan,2019,11:55 PM
thejakartaglobe,Crashed Lion Air Jet's Cockpit Voice Recorder Found: Officials http://jglo.be/khff pic.twitter.com/Sey0eZt9Mi,False,2019-01-13 23:50:00,13,Jan,2019,11:50 PM
thejakartaglobe,Palm Oil Continues to Makes Significant Contribution to Indonesian Economy: Gapki http://jglo.be/kh9C pic.twitter.com/2dspN157Mc,False,2019-01-13 21:39:00,13,Jan,2019,9:39 PM
thejakartaglobe,"The Pisang Batu River flowing through Pahlawan Setia village in Bekasi district, West Java, turned into a 1.5-kilometer-long garbage canal on Jan. 5, after it became choked with discarded plastic and household items. https://jakartaglobe.id/eyewitness/river-of-garbage/ …pic.twitter.com/lULmWiCt7B",False,2019-01-13 16:51:00,13,Jan,2019,4:51 PM
thejakartaglobe,US to Host Iran-Focused Global Meeting in Poland on Feb. 13-14 http://jglo.be/khdK pic.twitter.com/bMU6j8XsbD,False,2019-01-13 06:49:00,13,Jan,2019,6:49 AM
thejakartaglobe,US Expects China's Top Trade Negotiator to Visit 'Most Likely' This Month http://jglo.be/khdP pic.twitter.com/aoKfPYHCR0,False,2019-01-13 06:45:00,13,Jan,2019,6:45 AM
thejakartaglobe,"Russia Condemns UK Foreign Army Base Plans, Says Ready to Defend Interests http://jglo.be/khdG pic.twitter.com/PUspKuapoQ",False,2019-01-13 06:37:00,13,Jan,2019,6:37 AM
thejakartaglobe,"Oceans Warming Faster Than Expected, Set Heat Record in 2018: Scientists http://jglo.be/khdp pic.twitter.com/Dzrca0cG06",False,2019-01-13 06:29:00,13,Jan,2019,6:29 AM
thejakartaglobe,China Pledges Easier Foreign Tourist Access to Tibet Amid US Pressure http://jglo.be/khdA pic.twitter.com/FrPg6HXEmc,False,2019-01-13 06:25:00,13,Jan,2019,6:25 AM
thejakartaglobe,Trump Promises Changes to Visas for Skilled Workers http://jglo.be/khdj pic.twitter.com/HEOst4Wj1L,False,2019-01-13 06:22:00,13,Jan,2019,6:22 AM
thejakartaglobe,"As World Economy Stumbles Into 2019, Eyes Turn to China http://jglo.be/khdf pic.twitter.com/JwnWe6c6IO",False,2019-01-13 06:19:00,13,Jan,2019,6:19 AM
thejakartaglobe,Taiwan Appoints New Premier After Resignations Over Poll Defeats http://jglo.be/khd7 pic.twitter.com/8HFSaW3Rwr,False,2019-01-13 06:09:00,13,Jan,2019,6:09 AM
thejakartaglobe,"Trump Threatens to Use Emergency Power to Build Wall, End Shutdown http://jglo.be/khdb pic.twitter.com/rb2s27f2jv",False,2019-01-13 05:57:00,13,Jan,2019,5:57 AM
thejakartaglobe,Agus Martowardojo Finds His 'Amakudari' at Tokopedia http://jglo.be/khbH pic.twitter.com/4ezIpvbrD7,False,2019-01-13 04:44:00,13,Jan,2019,4:44 AM
thejakartaglobe,River of Garbage http://jglo.be/khcO pic.twitter.com/6H1tBHm7YX,False,2019-01-13 03:35:00,13,Jan,2019,3:35 AM
