handle,tweet,if_tsunami,datetime,day,month,year,time,if_alert_worthy
thejakartaglobe,Gov't Cracks Down on E-Commerce to Raise Tax Collection,False,2019-01-14 07:44:00,14,Jan,2019,7:44 AM,0
thejakartaglobe,Lippo Cikarang Hands Over Apartment Units in Pasadena Suites in Meikarta CBD,False,2019-01-14 07:31:00,14,Jan,2019,7:31 AM,0
thejakartaglobe,'Lagi-Lagi Ateng' Pays Tribute to Legendary Comedians,False,2019-01-14 06:35:00,14,Jan,2019,6:35 AM,0
thejakartaglobe,Indonesian Student Wins Worldwide Comic Contest With Anti-Bullying Hero,False,2019-01-14 04:39:00,14,Jan,2019,4:39 AM,0
thejakartaglobe,Indonesia Hopes to Solve Lion Air Crash Mystery After Navy Recovers Cockpit Voice Recorder,False,2019-01-14 04:03:00,14,Jan,2019,4:03 AM,0
thejakartaglobe,"The government is preparing a regulation that will fix the rates for drivers and riders of ride-hailing services Grab and Go-Jek, two officials said this week, creating potential obstacles for the companies' expansion.",False,2019-01-14 02:21:00,14,Jan,2019,2:21 AM,0
thejakartaglobe,Indonesian artist and avid traveler Baron Basuning captures light of the divine in latest solo exhibition.,False,2019-01-14 02:18:00,14,Jan,2019,2:18 AM,0
thejakartaglobe,"President Joko Widodo in a televised public address on Sunday laid out his vision and mission for the next five years, promising more development in the future and discussed the administration's achievements.",False,2019-01-14 02:18:00,14,Jan,2019,2:18 AM,0
thejakartaglobe,"Man of all trades – fashion designer, film and soap opera actor – Robby Tumewu passed away early Monday morning.",False,2019-01-14 00:46:00,14,Jan,2019,12:46 AM,0
thejakartaglobe,The Ministry of Health reassured HIV patients that sufficient antiretroviral drugs will be available for their treatment after some hospitals ran out of supplies.,False,2019-01-13 23:56:00,13,Jan,2019,11:56 PM,0
thejakartaglobe,"Meme candidate pair and toilet-humor enthusiasts Nurhadi-Aldo – ""DilDo"" for short – steals spotlight amid political campaign hubbub.",False,2019-01-13 23:55:00,13,Jan,2019,11:55 PM,0
thejakartaglobe,Crashed Lion Air Jet's Cockpit Voice Recorder Found: Officials,False,2019-01-13 23:50:00,13,Jan,2019,11:50 PM,0
thejakartaglobe,Palm Oil Continues to Makes Significant Contribution to Indonesian Economy: Gapki,False,2019-01-13 21:39:00,13,Jan,2019,9:39 PM,0
thejakartaglobe,"The Pisang Batu River flowing through Pahlawan Setia village in Bekasi district, West Java, turned into a 1.5-kilometer-long garbage canal on Jan. 5, after it became choked with discarded plastic and household items.",False,2019-01-13 16:51:00,13,Jan,2019,4:51 PM,0
thejakartaglobe,US to Host Iran-Focused Global Meeting in Poland on Feb. 13-14,False,2019-01-13 06:49:00,13,Jan,2019,6:49 AM,0
thejakartaglobe,US Expects China's Top Trade Negotiator to Visit 'Most Likely' This Month,False,2019-01-13 06:45:00,13,Jan,2019,6:45 AM,0
thejakartaglobe,"Russia Condemns UK Foreign Army Base Plans, Says Ready to Defend Interests",False,2019-01-13 06:37:00,13,Jan,2019,6:37 AM,0
thejakartaglobe,"Oceans Warming Faster Than Expected, Set Heat Record in 2018: Scientists",False,2019-01-13 06:29:00,13,Jan,2019,6:29 AM,0
thejakartaglobe,China Pledges Easier Foreign Tourist Access to Tibet Amid US Pressure,False,2019-01-13 06:25:00,13,Jan,2019,6:25 AM,0
thejakartaglobe,Trump Promises Changes to Visas for Skilled Workers,False,2019-01-13 06:22:00,13,Jan,2019,6:22 AM,0
thejakartaglobe,"As World Economy Stumbles Into 2019, Eyes Turn to China",False,2019-01-13 06:19:00,13,Jan,2019,6:19 AM,0
thejakartaglobe,Taiwan Appoints New Premier After Resignations Over Poll Defeats,False,2019-01-13 06:09:00,13,Jan,2019,6:09 AM,0
thejakartaglobe,"Trump Threatens to Use Emergency Power to Build Wall, End Shutdown",False,2019-01-13 05:57:00,13,Jan,2019,5:57 AM,0
thejakartaglobe,Agus Martowardojo Finds His 'Amakudari' at Tokopedia,False,2019-01-13 04:44:00,13,Jan,2019,4:44 AM,0
thejakartaglobe,River of Garbage,False,2019-01-13 03:35:00,13,Jan,2019,3:35 AM,0
thejakartaglobe,Gov't Seeks to Reassure HIV Patients Over Drug Supplies,False,2019-01-13 01:25:00,13,Jan,2019,1:25 AM,0
thejakartaglobe,Baron Basuning Captures Light of the Divine in His Latest Solo Exhibition,False,2019-01-13 01:08:00,13,Jan,2019,1:08 AM,0
thejakartaglobe,Meme Candidate Pair Nurhadi-Aldo Steals Spotlight Amid Political Campaign Hubbub,False,2019-01-11 09:47:00,11,Jan,2019,9:47 AM,0
thejakartaglobe,Bangkok Fights Floods With Thirsty Landscaping,False,2019-01-11 09:00:00,11,Jan,2019,9:00 AM,0
thejakartaglobe,"Erdoğan Threats Against Kurds Will Not Stop Syria Withdrawal, Pompeo Says",False,2019-01-11 07:01:00,11,Jan,2019,7:01 AM,0
thejakartaglobe,"Gov't Plan to Regulate Ride-Hailing Rates Threatens Grab, Go-Jek Expansion",False,2019-01-11 06:22:00,11,Jan,2019,6:22 AM,0
thejakartaglobe,Countries Face Tighter Scrutiny on Trafficking Under US Law,False,2019-01-11 05:00:00,11,Jan,2019,5:00 AM,0
thejakartaglobe,"E-commerce platform Shopee claps back at arch nemesis Maimon Herawati, with a cheeky revision to its Blackpink advertisement, replacing the lower half of the members with an illustration.",False,2019-01-11 01:31:00,11,Jan,2019,1:31 AM,0
thejakartaglobe,Indonesia is doubling its retail bond sales volume in 2019.,False,2019-01-10 23:25:00,10,Jan,2019,11:25 PM,0
thejakartaglobe,"After the successful adaptation of her book ""Critical Eleven"" to the big screen in 2015, Ika Natassa's sophomore bid ""Antologi Rasa"" (""Love Anthology"") is set to release this Valentine's Day, with three others in the works.",False,2019-01-10 23:21:00,10,Jan,2019,11:21 PM,0
thejakartaglobe,Jakarta Governor Anies Baswedan dipped himself into hot water as he is under questioning for throwing up a two-finger salute to Prabowo-Sandiaga. Openly endorsing a presidential candidate during the campaign period violates an election law.,False,2019-01-10 23:20:00,10,Jan,2019,11:20 PM,0
thejakartaglobe,China Says Trade Talks With US Set Foundation to Resolve Concerns,False,2019-01-10 18:01:00,10,Jan,2019,6:01 PM,0
thejakartaglobe,South Korea's Moon Calls for 'Bold Steps' Ahead of Second Kim-Trump Summit,False,2019-01-10 15:03:00,10,Jan,2019,3:03 PM,0
thejakartaglobe,Australian Police Charge Man Over Hazardous Parcels Sent to Diplomatic Offices,False,2019-01-10 12:06:00,10,Jan,2019,12:06 PM,0
thejakartaglobe,"With Farms Atop Malls, Singapore Gets Serious About Food Security",False,2019-01-10 08:59:00,10,Jan,2019,8:59 AM,0
thejakartaglobe,Ika Natassa's Books Lined Up for Film Adaptation,False,2019-01-10 07:44:00,10,Jan,2019,7:44 AM,0
thejakartaglobe,"Trump Says He Has Right to Declare Border Emergency, Democrats to Test Republican Resolve",False,2019-01-10 07:10:00,10,Jan,2019,7:10 AM,0
thejakartaglobe,US to Blame if Any South China Sea Clash: Chinese Researcher,False,2019-01-10 05:00:00,10,Jan,2019,5:00 AM,0
thejakartaglobe,Indonesia to Bump Up Retail Bond Sales Volume in 2019,False,2019-01-10 03:33:00,10,Jan,2019,3:33 AM,0
thejakartaglobe,Philippines a no-go for GO-JEK as the proposal to launch the ride-hailing service in the country is denied due to foreign ownership issues.,False,2019-01-10 00:59:00,10,Jan,2019,12:59 AM,0
thejakartaglobe,"Grab a date, the film adaptation of Ika Natassa's novel ""Antologi Rasa"" is set to release this Valentine's Day, with a trailer coming out on Saturday.",False,2019-01-10 00:58:00,10,Jan,2019,12:58 AM,0
thejakartaglobe,"""Kembalilah Dengan Tenang,"" or ""Return in Peace,"" a short film directed by Yogyakarta-based director Reza Fahriyansyah, is set make its international premiere at the 41st Clermont-Ferrand International Short Festival in France on Feb. 1-9.",False,2019-01-10 00:56:00,10,Jan,2019,12:56 AM,0
thejakartaglobe,Two KPK officials; Deputy Chairman Laode M. Syarif and Chariman Agus Rahardjo became targets of a bomb threat by unnamed suspects on Wednesday.,False,2019-01-09 22:42:00,9,Jan,2019,10:42 PM,0
thejakartaglobe,April Group Honored for Commitment to SDGs at Sustainable Business Awards,False,2019-01-09 22:19:00,9,Jan,2019,10:19 PM,0
thejakartaglobe,Go-Jek's Expansion Hits Roadblock as Philippines Rejects Ride-Hailing Application,False,2019-01-09 20:53:00,9,Jan,2019,8:53 PM,0
thejakartaglobe,"US Trade Delegation Wrapping Up Meetings in China, Hopes of a Deal Build",False,2019-01-09 18:01:00,9,Jan,2019,6:01 PM,0
thejakartaglobe,Malaysia Says Europe's Move to Limit Palm Oil Use Will Affect Ties,False,2019-01-09 15:00:00,9,Jan,2019,3:00 PM,0
thejakartaglobe,"Suspicious Packages Sent to Up to 14 Diplomatic Missions in Australia: Police, Media",False,2019-01-09 12:01:00,9,Jan,2019,12:01 PM,0
thejakartaglobe,"China Says Pace of Xinjiang 'Education' Will Slow, but Defends Camps",False,2019-01-09 09:00:00,9,Jan,2019,9:00 AM,0
thejakartaglobe,'Antologi Rasa' Film Adaptation Slated for Valentine's Day Release,False,2019-01-09 07:39:00,9,Jan,2019,7:39 AM,0
thejakartaglobe,Activists Warn of Gaps as EU Lifts Ban Threat on Thai Fishing Industry,False,2019-01-09 07:02:00,9,Jan,2019,7:02 AM,0
thejakartaglobe,'Kembalilah Dengan Tenang' to Premiere at Clermont-Ferrand Film Festival,False,2019-01-09 06:01:00,9,Jan,2019,6:01 AM,0
thejakartaglobe,Petronas-Saudi Aramco Refinery Begins Trials on Crude Oil Unit: Sources,False,2019-01-09 05:03:00,9,Jan,2019,5:03 AM,0
thejakartaglobe,UN Refers Saudi Teen to Australia for Refugee Resettlement,False,2019-01-09 03:22:00,9,Jan,2019,3:22 AM,0
thejakartaglobe,"In 2003, UNESCO recognized wayang as a Masterpiece of the Oral and Intangible Heritage of Humanity. But can millennials memorize wayang characters the way they memorize K-pop idols?",False,2019-01-09 00:52:00,9,Jan,2019,12:52 AM,0
thejakartaglobe,"After a steep correction last year and pressure on the rupiah, Indonesia expects stability to return to its financial markets this year as foreign capital starts flowing back into the domestic market.",False,2019-01-09 00:51:00,9,Jan,2019,12:51 AM,0
thejakartaglobe,"As the recent arrest of two women for prostitution dominates headlines in Indonesia, it demonstrates how women still endure most of the scrutiny in such scandals, despite often being the victims.",False,2019-01-09 00:46:00,9,Jan,2019,12:46 AM,0
thejakartaglobe,"At 22, Tsamara Amany has quickly become one of the youngest and most outspoken politicians in Indonesia. A member of the Indonesian Solidarity Party (PSI), she is known for her quick wit and her penchant for calling out senior politicians on social media. #JGWomenWednesdays",False,2019-01-08 23:22:00,8,Jan,2019,11:22 PM,0
thejakartaglobe,Quona Capital's Partnership With KoinWorks Emphasizes Financial Inclusion,False,2019-01-08 22:24:00,8,Jan,2019,10:24 PM,0
thejakartaglobe,US-China Trade Talks to Continue for Third Day: US Official,False,2019-01-08 19:51:00,8,Jan,2019,7:51 PM,0
thejakartaglobe,"Malaysia, Singapore Agree to Steps to Curb Air, Sea Tensions",False,2019-01-08 19:32:00,8,Jan,2019,7:32 PM,0
thejakartaglobe,N.Korea's Kim Discusses Expected Summit With Trump in Talks in China: Yonhap,False,2019-01-08 19:27:00,8,Jan,2019,7:27 PM,0
thejakartaglobe,"Southeast Asia Wary of China's Belt and Road Project, Skeptical of US: Survey",False,2019-01-08 09:00:00,8,Jan,2019,9:00 AM,0
thejakartaglobe,High-Profile Prostitution Scandal Shows Women Still Experience the Brunt of Scrutiny,False,2019-01-08 08:28:00,8,Jan,2019,8:28 AM,0
